date;view_count;dominant_genre;is_menstruation;weekday;season
2018-12-24;2;Drama;False;Monday;Winter
2018-12-25;3;Drama;False;Tuesday;Winter
2018-12-26;3;Drama;False;Wednesday;Winter
2018-12-27;2;Drama;False;Thursday;Winter
2018-12-31;1;Animation;False;Monday;Winter
2019-01-04;1;Drama;False;Friday;Winter
2019-01-05;2;Animation;False;Saturday;Winter
2019-01-11;3;Drama;False;Friday;Winter
2019-01-12;1;Drama;False;Saturday;Winter
2019-01-14;7;Drama;False;Monday;Winter
2019-01-15;6;Drama;False;Tuesday;Winter
2019-01-16;4;Drama;False;Wednesday;Winter
2019-01-17;6;Drama;False;Thursday;Winter
2019-01-19;5;Drama;False;Saturday;Winter
2019-01-25;1;Drama;False;Friday;Winter
2019-01-27;2;Drama;False;Sunday;Winter
2019-02-02;1;Crime;False;Saturday;Winter
2019-02-06;1;Crime;False;Wednesday;Winter
2019-02-09;5;Crime;False;Saturday;Winter
2019-02-14;1;Crime;False;Thursday;Winter
2019-02-15;3;Animation;False;Friday;Winter
2019-02-16;1;Drama;False;Saturday;Winter
2019-03-01;1;Drama;False;Friday;Spring
2019-03-04;1;Drama;False;Monday;Spring
2019-03-05;1;Drama;False;Tuesday;Spring
2019-03-12;1;Drama;False;Tuesday;Spring
2019-03-16;1;Drama;False;Saturday;Spring
2019-03-18;1;Drama;False;Monday;Spring
2019-03-19;1;Drama;False;Tuesday;Spring
2019-03-20;1;Drama;False;Wednesday;Spring
2019-03-21;1;Drama;False;Thursday;Spring
2019-03-22;1;Drama;False;Friday;Spring
2019-03-23;3;Crime;False;Saturday;Spring
2019-03-24;2;Drama;False;Sunday;Spring
2019-03-26;1;Drama;False;Tuesday;Spring
2019-03-29;2;Drama;False;Friday;Spring
2019-03-31;2;Drama;False;Sunday;Spring
2019-04-01;2;Drama;False;Monday;Spring
2019-04-02;1;Drama;False;Tuesday;Spring
2019-04-03;2;Drama;False;Wednesday;Spring
2019-04-05;1;Drama;False;Friday;Spring
2019-04-10;2;Drama;False;Wednesday;Spring
2019-04-11;4;Drama;False;Thursday;Spring
2019-04-12;2;Drama;False;Friday;Spring
2019-04-18;2;Drama;False;Thursday;Spring
2019-04-19;1;Drama;False;Friday;Spring
2019-04-21;3;Drama;False;Sunday;Spring
2019-04-22;3;Drama;False;Monday;Spring
2019-04-23;1;Drama;False;Tuesday;Spring
2019-04-27;3;Drama;False;Saturday;Spring
2019-04-28;2;Drama;False;Sunday;Spring
2019-04-30;2;Drama;False;Tuesday;Spring
2019-05-05;5;Drama;False;Sunday;Spring
2019-05-06;2;Drama;False;Monday;Spring
2019-05-07;1;Drama;False;Tuesday;Spring
2019-05-08;1;Drama;False;Wednesday;Spring
2019-05-10;4;Drama;False;Friday;Spring
2019-05-11;3;Drama;False;Saturday;Spring
2019-05-14;1;Drama;False;Tuesday;Spring
2019-05-15;4;Drama;False;Wednesday;Spring
2019-05-17;3;Drama;False;Friday;Spring
2019-05-18;2;Drama;False;Saturday;Spring
2019-05-30;1;Drama;False;Thursday;Spring
2019-06-08;1;Psychological;False;Saturday;Summer
2019-06-09;3;Comedy;False;Sunday;Summer
2019-06-10;12;Comedy;False;Monday;Summer
2019-06-11;6;Comedy;False;Tuesday;Summer
2019-06-12;10;Comedy;False;Wednesday;Summer
2019-06-13;7;Comedy;False;Thursday;Summer
2019-06-14;6;Comedy;False;Friday;Summer
2019-06-15;12;Comedy;False;Saturday;Summer
2019-06-16;9;Comedy;False;Sunday;Summer
2019-06-17;3;Comedy;False;Monday;Summer
2019-06-18;1;Comedy;False;Tuesday;Summer
2019-06-21;5;Comedy;False;Friday;Summer
2019-06-22;5;Comedy;False;Saturday;Summer
2019-06-24;2;Crime;False;Monday;Summer
2019-06-25;2;Comedy;False;Tuesday;Summer
2019-06-26;3;Comedy;False;Wednesday;Summer
2019-06-27;4;Comedy;False;Thursday;Summer
2019-06-28;7;Comedy;False;Friday;Summer
2019-06-29;4;Comedy;False;Saturday;Summer
2019-06-30;2;Crime;False;Sunday;Summer
2019-07-02;3;Comedy;False;Tuesday;Summer
2019-07-03;1;Comedy;False;Wednesday;Summer
